track_id,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,tempo,rms_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,contrast_7_mean
1121,-347.85309,67.918471,135.328413,28.864659,-17.367121,20.978332,16.532269,12.143489,-2.747201,10.32362,-5.868898,8.788473,-8.63605,9.231604,-5.40344,9.694046,-7.361423,10.10579,-3.751606,10.421848,-7.466841,10.882176,-3.721486,10.732254,-1.899246,11.730549,-1.540461,10.960158,-1.585273,10.87018,1.191245,10.528751,-0.922022,9.614014,0.434674,9.674072,-0.557951,10.617679,-0.209493,11.999579,132.251458,0.038446,0.229732,0.218926,0.248812,0.184241,0.23645,0.245881,0.219014,0.267144,0.206347,0.27221,0.239648,0.218246,20.956888,20.293609,25.033758,24.787387,24.4937,22.509896,49.072517
1123,-352.311735,60.125755,152.260077,30.387953,-9.522851,21.073634,2.791961,11.466393,5.010316,9.655377,-7.406035,9.082619,-8.470218,8.276825,-4.787959,8.607847,-3.857017,9.81718,-0.729654,9.74131,-2.793108,10.351869,-3.040494,10.856837,-3.315394,10.622393,-1.193892,10.268295,-1.343588,10.296147,-1.808535,9.998349,-2.503684,9.455674,-1.248357,9.666252,-2.066907,10.729678,-0.609732,10.948074,128.404271,0.042463,0.211228,0.219208,0.258118,0.232519,0.231663,0.224252,0.253384,0.240809,0.216507,0.218558,0.213353,0.224031,18.49369,18.685934,23.706558,24.547842,26.707247,24.433005,46.579122
1130,-359.411242,79.185119,165.498085,40.083449,-6.810915,25.331146,5.783173,13.627398,1.870488,11.426822,-7.199539,10.449298,-8.684919,9.496677,-7.747743,9.254271,-8.185658,9.25665,-5.736389,9.233019,-5.587265,9.555026,-3.638847,9.469821,-3.538575,9.707353,-3.421315,9.417316,-3.003226,9.370694,-2.53502,9.152398,-2.208439,8.985278,-1.96311,9.271324,-2.563656,9.93994,-1.607555,10.155272,123.949256,0.046291,0.250949,0.211316,0.255372,0.249975,0.241174,0.232186,0.211847,0.25865,0.226882,0.241714,0.261459,0.245672,18.967347,18.429809,23.220717,23.706138,25.253363,23.098686,46.612471
1139,-330.305183,83.354763,133.653828,31.476473,-17.288691,19.777174,25.073492,9.885787,-2.492988,12.027816,-4.875003,9.305982,-2.266897,9.135695,0.913833,8.312613,-4.583338,9.170933,-0.341425,8.280566,-5.801542,9.331977,-1.299385,9.540669,-1.387031,9.641025,0.038015,8.319701,0.313457,9.202324,3.044864,9.386097,3.617618,9.890469,6.169134,10.381194,-0.898206,10.637626,0.443744,10.176558,152.141937,0.027243,0.270112,0.260273,0.242534,0.209102,0.348199,0.316693,0.204892,0.281329,0.331082,0.428869,0.248965,0.231449,17.181426,17.506829,21.088738,22.122526,21.720466,24.84543,50.356579
7119,-294.59856,60.364629,149.910893,27.906802,-15.013143,17.675122,13.83916,10.946814,0.768037,9.650875,-1.108173,7.984915,-9.883766,8.171043,-5.91237,7.464509,-8.086659,7.956446,-4.738806,7.886241,-7.360135,8.436271,-4.912079,9.053921,-4.416114,8.886804,-4.579921,8.809511,-4.24567,8.57154,-2.892052,8.436995,-4.302327,8.505382,-2.231011,8.609965,-3.116531,9.403704,-3.018149,10.167219,125.880977,0.051569,0.283821,0.219604,0.24518,0.2491,0.237541,0.304837,0.232839,0.298963,0.259443,0.25942,0.297229,0.216354,21.410724,18.148373,22.641135,22.815687,23.996756,21.56028,47.147486
9271,-378.369756,76.1269,177.370486,38.518223,-3.294641,25.489342,6.77336,13.816257,7.572523,10.802521,-3.665477,9.828468,-5.926062,8.687271,-4.583072,8.317027,-5.288531,8.546739,-5.485785,8.727852,-4.904129,8.953295,-2.459467,9.142172,-1.439428,9.105255,-0.321307,8.550116,-1.330698,8.656451,-0.878764,8.937065,-0.308097,8.642724,-0.110009,8.635432,-1.183777,9.105993,-1.998281,9.654703,128.001408,0.036882,0.252901,0.224301,0.263098,0.234539,0.267961,0.236348,0.193052,0.227066,0.225708,0.243416,0.241435,0.233535,17.968654,18.396002,23.348911,23.959259,25.497162,22.670364,45.334405
14361,-352.311735,60.125755,152.260077,30.387953,-9.522851,21.073634,2.791961,11.466393,5.010316,9.655377,-7.406035,9.082619,-8.470218,8.276825,-4.787959,8.607847,-3.857017,9.81718,-0.729654,9.74131,-2.793108,10.351869,-3.040494,10.856837,-3.315394,10.622393,-1.193892,10.268295,-1.343588,10.296147,-1.808535,9.998349,-2.503684,9.455674,-1.248357,9.666252,-2.066907,10.729678,-0.609732,10.948074,128.404271,0.042463,0.211228,0.219208,0.258118,0.232519,0.231663,0.224252,0.253384,0.240809,0.216507,0.218558,0.213353,0.224031,18.49369,18.685934,23.706558,24.547842,26.707247,24.433005,46.579122
15338,-326.911448,75.019218,121.739454,32.337698,-33.960473,22.255025,9.867176,11.240744,-6.539536,13.448668,-10.2914,10.263157,-15.397741,12.080236,-3.065143,10.644855,-15.703313,10.558174,-14.417649,11.288537,-12.90892,12.326556,-4.802368,12.979864,-5.339839,12.314416,-5.935852,13.342724,-5.015984,11.743639,-1.359459,10.241243,-1.82684,10.417403,1.647125,11.513685,0.81645,13.173635,-2.922141,14.213711,140.835849,0.035681,0.126258,0.304822,0.33362,0.222153,0.333189,0.178162,0.277694,0.185956,0.216183,0.361094,0.173151,0.245938,23.806783,23.126298,25.804968,25.999142,25.816488,25.031099,56.849848
16128,-352.311735,60.125755,152.260077,30.387953,-9.522851,21.073634,2.791961,11.466393,5.010316,9.655377,-7.406035,9.082619,-8.470218,8.276825,-4.787959,8.607847,-3.857017,9.81718,-0.729654,9.74131,-2.793108,10.351869,-3.040494,10.856837,-3.315394,10.622393,-1.193892,10.268295,-1.343588,10.296147,-1.808535,9.998349,-2.503684,9.455674,-1.248357,9.666252,-2.066907,10.729678,-0.609732,10.948074,128.404271,0.042463,0.211228,0.219208,0.258118,0.232519,0.231663,0.224252,0.253384,0.240809,0.216507,0.218558,0.213353,0.224031,18.49369,18.685934,23.706558,24.547842,26.707247,24.433005,46.579122
17769,-294.59856,60.364629,149.910893,27.906802,-15.013143,17.675122,13.83916,10.946814,0.768037,9.650875,-1.108173,7.984915,-9.883766,8.171043,-5.91237,7.464509,-8.086659,7.956446,-4.738806,7.886241,-7.360135,8.436271,-4.912079,9.053921,-4.416114,8.886804,-4.579921,8.809511,-4.24567,8.57154,-2.892052,8.436995,-4.302327,8.505382,-2.231011,8.609965,-3.116531,9.403704,-3.018149,10.167219,125.880977,0.051569,0.283821,0.219604,0.24518,0.2491,0.237541,0.304837,0.232839,0.298963,0.259443,0.25942,0.297229,0.216354,21.410724,18.148373,22.641135,22.815687,23.996756,21.56028,47.147486
