artist_id,artist,musicnet_id,composer_raw,match_key,match_type
17769,brahms,2112,Brahms,brahms,exact
17769,brahms,2113,Brahms,brahms,exact
17769,brahms,2114,Brahms,brahms,exact
17769,brahms,2116,Brahms,brahms,exact
17769,brahms,2117,Brahms,brahms,exact
17769,brahms,2118,Brahms,brahms,exact
17769,brahms,2119,Brahms,brahms,exact
17769,brahms,2127,Brahms,brahms,exact
17769,brahms,2131,Brahms,brahms,exact
17769,brahms,2138,Brahms,brahms,exact
17769,brahms,2140,Brahms,brahms,exact
17769,brahms,2147,Brahms,brahms,exact
17769,brahms,2148,Brahms,brahms,exact
17769,brahms,2149,Brahms,brahms,exact
17769,brahms,2150,Brahms,brahms,exact
17769,brahms,2151,Brahms,brahms,exact
17769,brahms,2154,Brahms,brahms,exact
17769,brahms,2155,Brahms,brahms,exact
17769,brahms,2156,Brahms,brahms,exact
17769,brahms,2157,Brahms,brahms,exact
17769,brahms,2158,Brahms,brahms,exact
17769,brahms,2159,Brahms,brahms,exact
17769,brahms,2160,Brahms,brahms,exact
17769,brahms,2161,Brahms,brahms,exact
